getTableName	value	isNullable	value	getPrecision	value	getSchemaName	value	getColumnClassName	value	getCatalogName	value	getColumnDisplaySize	value	getColumnTypeName	value	getColumnName	value	getColumnLabel	value	getColumnType	value	getScale	value	
fieldStr: getTableName	agent	isNullable	1	getPrecision	50	getSchemaName		getColumnClassName	java.lang.String	getCatalogName	agent_platform	getColumnDisplaySize	50	getColumnTypeName	VARCHAR	getColumnName	pay_password	getColumnLabel	pay_password	getColumnType	12	getScale	0	
fieldStr: getTableName	agent	isNullable	0	getPrecision	15	getSchemaName		getColumnClassName	java.lang.String	getCatalogName	agent_platform	getColumnDisplaySize	15	getColumnTypeName	VARCHAR	getColumnName	phone_no	getColumnLabel	phone_no	getColumnType	12	getScale	0	
fieldStr: getTableName	agent	isNullable	0	getPrecision	15	getSchemaName		getColumnClassName	java.lang.String	getCatalogName	agent_platform	getColumnDisplaySize	15	getColumnTypeName	VARCHAR	getColumnName	applicant	getColumnLabel	applicant	getColumnType	12	getScale	0	
fieldStr: getTableName	agent	isNullable	0	getPrecision	15	getSchemaName		getColumnClassName	java.lang.String	getCatalogName	agent_platform	getColumnDisplaySize	15	getColumnTypeName	VARCHAR	getColumnName	status	getColumnLabel	status	getColumnType	12	getScale	0	
fieldStr: getTableName	agent	isNullable	1	getPrecision	19	getSchemaName		getColumnClassName	java.sql.Timestamp	getCatalogName	agent_platform	getColumnDisplaySize	19	getColumnTypeName	DATETIME	getColumnName	check_time	getColumnLabel	check_time	getColumnType	93	getScale	0	
fieldStr: getTableName	agent	isNullable	1	getPrecision	15	getSchemaName		getColumnClassName	java.lang.String	getCatalogName	agent_platform	getColumnDisplaySize	15	getColumnTypeName	VARCHAR	getColumnName	checker_name	getColumnLabel	checker_name	getColumnType	12	getScale	0	
fieldStr: getTableName	agent	isNullable	1	getPrecision	50	getSchemaName		getColumnClassName	java.lang.String	getCatalogName	agent_platform	getColumnDisplaySize	50	getColumnTypeName	VARCHAR	getColumnName	check_remark	getColumnLabel	check_remark	getColumnType	12	getScale	0	
fieldStr: getTableName	agent	isNullable	0	getPrecision	45	getSchemaName		getColumnClassName	java.lang.String	getCatalogName	agent_platform	getColumnDisplaySize	45	getColumnTypeName	VARCHAR	getColumnName	agent_no	getColumnLabel	agent_no	getColumnType	12	getScale	0	
fieldStr: getTableName	agent	isNullable	0	getPrecision	19	getSchemaName		getColumnClassName	java.sql.Timestamp	getCatalogName	agent_platform	getColumnDisplaySize	19	getColumnTypeName	DATETIME	getColumnName	created_at	getColumnLabel	created_at	getColumnType	93	getScale	0	
fieldStr: getTableName	agent	isNullable	0	getPrecision	19	getSchemaName		getColumnClassName	java.sql.Timestamp	getCatalogName	agent_platform	getColumnDisplaySize	19	getColumnTypeName	DATETIME	getColumnName	updated_at	getColumnLabel	updated_at	getColumnType	93	getScale	0	
fieldStr: getTableName	agentglobalservicecfg	isNullable	0	getPrecision	11	getSchemaName		getColumnClassName	java.lang.Integer	getCatalogName	agent_platform	getColumnDisplaySize	11	getColumnTypeName	INT	getColumnName	id	getColumnLabel	id	getColumnType	4	getScale	0	
fieldStr: getTableName	agentglobalservicecfg	isNullable	0	getPrecision	25	getSchemaName		getColumnClassName	java.lang.String	getCatalogName	agent_platform	getColumnDisplaySize	25	getColumnTypeName	VARCHAR	getColumnName	name	getColumnLabel	name	getColumnType	12	getScale	0	
fieldStr: getTableName	agentglobalservicecfg	isNullable	0	getPrecision	25	getSchemaName		getColumnClassName	java.lang.String	getCatalogName	agent_platform	getColumnDisplaySize	25	getColumnTypeName	VARCHAR	getColumnName	display_name	getColumnLabel	display_name	getColumnType	12	getScale	0	
fieldStr: getTableName	agentglobalservicecfg	isNullable	0	getPrecision	1	getSchemaName		getColumnClassName	java.lang.Boolean	getCatalogName	agent_platform	getColumnDisplaySize	1	getColumnTypeName	TINYINT	getColumnName	is_visible	getColumnLabel	is_visible	getColumnType	-7	getScale	0	
fieldStr: getTableName	agentglobalservicecfg	isNullable	0	getPrecision	22	getSchemaName		getColumnClassName	java.lang.Double	getCatalogName	agent_platform	getColumnDisplaySize	22	getColumnTypeName	DOUBLE	getColumnName	invoice_tax_ratio	getColumnLabel	invoice_tax_ratio	getColumnType	8	getScale	31	
fieldStr: getTableName	agentglobalservicecfg	isNullable	0	getPrecision	20	getSchemaName		getColumnClassName	java.math.BigInteger	getCatalogName	agent_platform	getColumnDisplaySize	20	getColumnTypeName	BIGINT UNSIGNED	getColumnName	single_withdraw_fee_amount	getColumnLabel	single_withdraw_fee_amount	getColumnType	-5	getScale	0	
fieldStr: getTableName	agentglobalservicecfg	isNullable	0	getPrecision	100	getSchemaName		getColumnClassName	java.lang.String	getCatalogName	agent_platform	getColumnDisplaySize	100	getColumnTypeName	VARCHAR	getColumnName	description	getColumnLabel	description	getColumnType	12	getScale	0	
fieldStr: getTableName	agentglobalservicecfg	isNullable	0	getPrecision	20	getSchemaName		getColumnClassName	java.lang.String	getCatalogName	agent_platform	getColumnDisplaySize	20	getColumnTypeName	VARCHAR	getColumnName	extend	getColumnLabel	extend	getColumnType	12	getScale	0	
fieldStr: getTableName	agentglobalservicecfg	isNullable	0	getPrecision	19	getSchemaName		getColumnClassName	java.sql.Timestamp	getCatalogName	agent_platform	getColumnDisplaySize	19	getColumnTypeName	DATETIME	getColumnName	created_at	getColumnLabel	created_at	getColumnType	93	getScale	0	
fieldStr: getTableName	agentglobalservicecfg	isNullable	0	getPrecision	19	getSchemaName		getColumnClassName	java.sql.Timestamp	getCatalogName	agent_platform	getColumnDisplaySize	19	getColumnTypeName	DATETIME	getColumnName	updated_at	getColumnLabel	updated_at	getColumnType	93	getScale	0	
fieldStr: getTableName	agentnew	isNullable	0	getPrecision	11	getSchemaName		getColumnClassName	java.lang.Integer	getCatalogName	agent_platform	getColumnDisplaySize	11	getColumnTypeName	INT	getColumnName	id	getColumnLabel	id	getColumnType	4	getScale	0	
